serialn	lat	lon
ODINSD0025	-38.64909	177.972029
ODINSD0023	-38.651746	177.997855
ODINSD0005	-38.654547	177.997703
ODINSD0026	-38.666348	178.025697
ODINSD0016	-38.662559	178.020999
ODINSD0011	-38.660446	178.009429
ODINSD0031	-38.668551	178.011946
ODINSD0029	-38.661274	177.998949
ODINSD0028	-38.641706	178.007599
ODINSD0009	-38.645645	178.024849
ODINSD0018	-38.653316	178.023233
ODINSD0014	-38.654558	178.031729
ODINSD0017	-38.664854	178.030206
ODINSD0027	-38.668828	178.026816
ODINSD0008	-38.669858	178.03165
ODINSD0010	-38.67307	178.040352
ODINSD0019	-38.666978	178.044312
ODINSD0021	-38.670207	178.05149
